"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:063","063","Ashburton District",2013,28968,"total people with a stated religious-affiliation response",18054,62.32,10914,37.68,34,11.74,0.01,6181.46,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:063","063","Ashburton District",2018,33423,"total people with a stated religious-affiliation response",18480,55.29,14943,44.71,34,10.17,0.01,6181.46,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:063","063","Ashburton District",2023,34746,"total people with a stated religious-affiliation response",17532,50.46,17214,49.54,34,9.79,0.01,6181.46,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:064","064","Timaru District",2013,41502,"total people with a stated religious-affiliation response",25050,60.36,16452,39.64,41,9.88,0.02,2732.3,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:064","064","Timaru District",2018,46296,"total people with a stated religious-affiliation response",23883,51.59,22413,48.41,41,8.86,0.02,2732.3,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:064","064","Timaru District",2023,47547,"total people with a stated religious-affiliation response",22899,48.16,24648,51.84,41,8.62,0.02,2732.3,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:065","065","Mackenzie District",2013,3840,"total people with a stated religious-affiliation response",2238,58.28,1602,41.72,7,18.23,0,7138.7,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:065","065","Mackenzie District",2018,4866,"total people with a stated religious-affiliation response",2349,48.27,2517,51.73,7,14.39,0,7138.7,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:065","065","Mackenzie District",2023,5115,"total people with a stated religious-affiliation response",2199,42.99,2916,57.01,7,13.69,0,7138.7,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:066","066","Waimate District",2013,6969,"total people with a stated religious-affiliation response",4167,59.79,2802,40.21,11,15.78,0,3554.45,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
