"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:31","31","Minas Gerais - MG",2022,18081378,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",17046437,94.28,1034941,5.72,,,,594193.57,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:32","32","Espírito Santo - ES",2000,3093266,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2795672,90.38,297594,9.62,,,,47381.37,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:32","32","Espírito Santo - ES",2010,3514843,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",3150374,89.63,364469,10.37,,,,47381.37,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:32","32","Espírito Santo - ES",2022,3335414,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2949996,88.44,385418,11.56,,,,47381.37,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:33","33","Rio de Janeiro - RJ",2000,14335751,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",12067733,84.18,2268018,15.82,,,,44125.13,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:33","33","Rio de Janeiro - RJ",2010,15984616,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",13490912,84.4,2493704,15.6,,,,44125.13,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:33","33","Rio de Janeiro - RJ",2022,14122728,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",11733824,83.08,2388904,16.92,,,,44125.13,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:35","35","São Paulo - SP",2000,36929736,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",34234081,92.7,2695655,7.3,,,,249244.86,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:35","35","São Paulo - SP",2010,41244161,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",37886299,91.86,3357862,8.14,,,,249244.86,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:35","35","São Paulo - SP",2022,39113721,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",35018541,89.53,4095180,10.47,,,,249244.86,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
