"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","printed_population_total","religion_universe_deviation","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","composition"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-018","MY-DOSM-betong","Betong",1991,43961,"Agama/ Religion",43993,-32,41998,95.5346784650031,1963,4.46532153499693,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=23794;Christianity=9296;Buddhism=1424;Hinduism=15;Others=7469;No Religion/Unknown=1963"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-018","MY-DOSM-betong","Betong",2000,50392,"Agama/ Religion",50392,0,48400,96.046991585966,1992,3.95300841403397,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=29802;Christianity=12364;Buddhism=1112;Hinduism=3;Others=5119;No Religion/Unknown=1992"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-018","MY-DOSM-betong","Betong",2010,60728,"Agama/ Religion",60728,0,59955,98.7271110525623,773,1.27288894743776,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=36753;Christianity=17104;Buddhism=1989;Hinduism=10;Others=4099;No Religion/Unknown=773"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-018","MY-DOSM-betong","Betong",2020,36303,"Agama/ Religion",36303,0,36214,99.7548411976972,89,0.24515880230284,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=15591;Christianity=19654;Buddhism=907;Hinduism=7;Others=55;No Religion/Unknown=89"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-019","MY-DOSM-bintulu","Bintulu",1991,85526,"Agama/ Religion",86132,-606,75334,88.0831559993452,10192,11.9168440006548,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=23796;Christianity=30403;Buddhism=5886;Hinduism=147;Others=15102;No Religion/Unknown=10192"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-019","MY-DOSM-bintulu","Bintulu",2000,139012,"Agama/ Religion",139012,0,131351,94.4889649814404,7661,5.51103501855955,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=48355;Christianity=58423;Buddhism=10465;Hinduism=99;Others=14009;No Religion/Unknown=7661"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-019","MY-DOSM-bintulu","Bintulu",2010,183402,"Agama/ Religion",183402,0,173637,94.6756305820002,9765,5.3243694179998,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=61898;Christianity=81968;Buddhism=16348;Hinduism=339;Others=13084;No Religion/Unknown=9765"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-019","MY-DOSM-bintulu","Bintulu",2020,178646,"Agama/ Religion",178646,0,175838,98.428176393538,2808,1.57182360646194,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=58255;Christianity=104771;Buddhism=11742;Hinduism=347;Others=723;No Religion/Unknown=2808"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-020","MY-DOSM-bukit-mabong","Bukit Mabong",1991,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-020","MY-DOSM-bukit-mabong","Bukit Mabong",2000,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
