"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:JW","JW","Jurong West",2020,225771,"Resident Population Aged 15 Years and Over",184697,81.8072,41074,18.1928,,,,14.680359,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:KL","KL","Kallang",2020,88333,"Resident Population Aged 15 Years and Over",69863,79.0905,18470,20.9095,,,,8.584703,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:MP","MP","Marine Parade",2020,38447,"Resident Population Aged 15 Years and Over",29344,76.3233,9103,23.6767,,,,6.133074,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:NV","NV","Novena",2020,40195,"Resident Population Aged 15 Years and Over",29857,74.2804,10338,25.7196,,,,8.968012,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:OT","OT","Outram",2020,15637,"Resident Population Aged 15 Years and Over",11498,73.5307,4139,26.4693,,,,1.373186,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:PR","PR","Pasir Ris",2020,130234,"Resident Population Aged 15 Years and Over",106047,81.428,24187,18.572,,,,15.803181,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:PG","PG","Punggol",2020,135347,"Resident Population Aged 15 Years and Over",106829,78.9297,28518,21.0703,,,,9.374277,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:QT","QT","Queenstown",2020,80302,"Resident Population Aged 15 Years and Over",61360,76.4115,18942,23.5885,,,,21.683971,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:RV","RV","River Valley",2020,8420,"Resident Population Aged 15 Years and Over",5855,69.5368,2565,30.4632,,,,1.475698,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:SB","SB","Sembawang",2020,87951,"Resident Population Aged 15 Years and Over",70815,80.5164,17136,19.4836,,,,12.636194,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:SE","SE","Sengkang",2020,205998,"Resident Population Aged 15 Years and Over",162562,78.9144,43436,21.0856,,,,10.603043,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:SG","SG","Serangoon",2020,103278,"Resident Population Aged 15 Years and Over",80631,78.0718,22647,21.9282,,,,10.100536,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:TM","TM","Tampines",2020,226982,"Resident Population Aged 15 Years and Over",190145,83.771,36837,16.229,,,,20.795428,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:TN","TN","Tanglin",2020,16737,"Resident Population Aged 15 Years and Over",12083,72.1933,4654,27.8067,,,,7.5523,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:TP","TP","Toa Payoh",2020,104789,"Resident Population Aged 15 Years and Over",81306,77.5902,23483,22.4098,,,,8.180213,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:WD","WD","Woodlands",2020,214946,"Resident Population Aged 15 Years and Over",182695,84.9958,32251,15.0042,,,,13.612515,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:YS","YS","Yishun",2020,188451,"Resident Population Aged 15 Years and Over",156402,82.9935,32049,17.0065,,,,21.011043,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
