priority,category,id,name,religion,denomination,address,amenity,building,country_code,lat,lng,tags_raw
1,generic_worship_label,w929517959,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-37.88055179,174.86500617,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w929517960,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-37.88060204,174.86513196,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w994104771,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-40.35154810555556,175.6167707222222,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w440933150,Sikh Place of Worship,sikh,,,place_of_worship,yes,NZ,-37.19032957647059,174.9826536117647,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""sikh""}"
1,generic_worship_label,w993784347,Sikh Place of Worship,sikh,,,,,NZ,-40.372549516666666,175.60105839166667,"{""religion"": ""sikh""}"
1,institutional_site,w222749634,Arataki School Hall,christian,apostolic,"4 Kaimanawa Street, Tauranga, 3116",place_of_worship,yes,NZ,-37.6752661,176.23128690000001,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""apostolic"", ""religion"": ""christian""}"
1,institutional_site,w927686244,Bishop Viard College Chapel,christian,catholic,,place_of_worship,yes,NZ,-41.13904229333333,174.84048207333333,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""catholic"", ""religion"": ""christian""}"
1,institutional_site,w1027560212,Catholic Cathedral College Chapel,unknown,,,,chapel,NZ,-43.53852374,172.64841705999999,"{""building"": ""chapel""}"
1,institutional_site,w504382170,Christ's College Chapel,unknown,,,,chapel,NZ,-43.530431454838705,172.6264819548387,"{""building"": ""chapel""}"
1,institutional_site,w412567214,Craighead Diocesan School Chapel,christian,anglican,Kitchener Square,place_of_worship,yes,NZ,-44.38748079230769,171.22598973846152,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""anglican"", ""religion"": ""christian""}"
