"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7066","7066","Lundehus",2023,7158,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",3098,43.2802,4060,56.7198,,,,1.4523,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7067","7067","Husum",2023,10578,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",5699,53.876,4879,46.124,,,,2.083,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7068","7068","Brønshøj",2023,9413,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",5592,59.4072,3821,40.5928,,,,1.7701,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7070","7070","Husumvold",2023,9205,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",2977,32.3411,6228,67.6589,,,,2.3543,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7081","7081","Christians",2023,7416,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",4234,57.0928,3182,42.9072,,,,0.5743,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7082","7082","Vor Frelsers",2023,15116,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",7975,52.7587,7141,47.2413,,,,6.583,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7083","7083","Nathanaels",2023,8224,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",4500,54.7179,3724,45.2821,,,,0.2628,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7084","7084","Sundby",2023,19742,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",9732,49.2959,10010,50.7041,,,,1.3741,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7085","7085","Allehelgens",2023,15374,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",8157,53.0571,7217,46.9429,,,,1.1573,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
"DK","dk-sogn-2026-dawa-dagi","sogn","dk-sogn-2026-dawa-dagi:7086","7086","Filips",2023,11784,"StatBank KM1 Q1 parish row; population_total is member plus not member of the National Church for the same parish and quarter.",7126,60.4718,4658,39.5282,,,,0.6807,,,"dst-statbank-km1-church-membership-parish-q1-2007-2026|dawa-dagi-sogn-current-2026","administrative_membership_register;church_of_denmark_membership_not_affiliation_or_attendance;member_share_member_over_member_plus_non_member;q1_km1;current_dawa_dagi_sogn_boundary_join;dropped_source_parishes_recorded_in_manifest"
