geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Bokissa,island,Sanma,2009,Customary beliefs,customary_beliefs,0
Bokissa,island,Sanma,2009,No religion,no_religion,17
Bokissa,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
Malo,island,Sanma,2009,Total,total,4279
Malo,island,Sanma,2009,Anglican,anglican,334
Malo,island,Sanma,2009,Presbyterian,presbyterian,1150
Malo,island,Sanma,2009,Catholic,catholic,150
Malo,island,Sanma,2009,SDA,seventh_day_adventist,934
Malo,island,Sanma,2009,Church of Christ,church_of_christ,422
Malo,island,Sanma,2009,AOG,assemblies_of_god,451
Malo,island,Sanma,2009,NTM,neil_thomas_ministry,3
Malo,island,Sanma,2009,Apostolic,apostolic,193
Malo,island,Sanma,2009,Others,other,523
Malo,island,Sanma,2009,Customary beliefs,customary_beliefs,19
Malo,island,Sanma,2009,No religion,no_religion,95
Malo,island,Sanma,2009,Refuse to answer,refuse_to_answer,5
Malokilikili,island,Sanma,2009,Total,total,13
Malokilikili,island,Sanma,2009,Anglican,anglican,0
Malokilikili,island,Sanma,2009,Presbyterian,presbyterian,0
Malokilikili,island,Sanma,2009,Catholic,catholic,13
Malokilikili,island,Sanma,2009,SDA,seventh_day_adventist,0
Malokilikili,island,Sanma,2009,Church of Christ,church_of_christ,0
Malokilikili,island,Sanma,2009,AOG,assemblies_of_god,0
Malokilikili,island,Sanma,2009,NTM,neil_thomas_ministry,0
Malokilikili,island,Sanma,2009,Apostolic,apostolic,0
Malokilikili,island,Sanma,2009,Others,other,0
Malokilikili,island,Sanma,2009,Customary beliefs,customary_beliefs,0
Malokilikili,island,Sanma,2009,No religion,no_religion,0
Malokilikili,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
Mavea,island,Sanma,2009,Total,total,207
Mavea,island,Sanma,2009,Anglican,anglican,2
Mavea,island,Sanma,2009,Presbyterian,presbyterian,6
Mavea,island,Sanma,2009,Catholic,catholic,1
Mavea,island,Sanma,2009,SDA,seventh_day_adventist,134
Mavea,island,Sanma,2009,Church of Christ,church_of_christ,54
Mavea,island,Sanma,2009,AOG,assemblies_of_god,0
Mavea,island,Sanma,2009,NTM,neil_thomas_ministry,0
Mavea,island,Sanma,2009,Apostolic,apostolic,3
Mavea,island,Sanma,2009,Others,other,6
Mavea,island,Sanma,2009,Customary beliefs,customary_beliefs,1
Mavea,island,Sanma,2009,No religion,no_religion,0
Mavea,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
