geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Merelava,area_council,Torba,2020,Total,total,647
Merelava,area_council,Torba,2020,Presbyterian,presbyterian,0
Merelava,area_council,Torba,2020,Seventh Day Adventist (SDA),seventh_day_adventist,0
Merelava,area_council,Torba,2020,Catholic,catholic,0
Merelava,area_council,Torba,2020,Anglican,anglican,525
Merelava,area_council,Torba,2020,Churches of Christ,church_of_christ,20
Merelava,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,29
Merelava,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,36
Merelava,area_council,Torba,2020,Customary beliefs,customary_beliefs,0
Merelava,area_council,Torba,2020,Apostolic,apostolic,10
Merelava,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,25
Merelava,area_council,Torba,2020,Other churches,other,2
Merelava,area_council,Torba,2020,No Religion/Faith,no_religion,0
Merelava,area_council,Torba,2020,Refuse to answer,refuse_to_answer,0
Merelava,area_council,Torba,2020,Not Stated,not_stated,0
SANMA,province,Sanma,2020,Total,total,42245
SANMA,province,Sanma,2020,Presbyterian,presbyterian,12645
SANMA,province,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,5451
SANMA,province,Sanma,2020,Catholic,catholic,4987
SANMA,province,Sanma,2020,Anglican,anglican,3434
SANMA,province,Sanma,2020,Churches of Christ,church_of_christ,2956
SANMA,province,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,1395
SANMA,province,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,1296
SANMA,province,Sanma,2020,Customary beliefs,customary_beliefs,298
SANMA,province,Sanma,2020,Apostolic,apostolic,2022
SANMA,province,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,574
SANMA,province,Sanma,2020,Other churches,other,6794
SANMA,province,Sanma,2020,No Religion/Faith,no_religion,347
SANMA,province,Sanma,2020,Refuse to answer,refuse_to_answer,44
SANMA,province,Sanma,2020,Not Stated,not_stated,3
North West Santo,area_council,Sanma,2020,Total,total,1589
North West Santo,area_council,Sanma,2020,Presbyterian,presbyterian,1175
North West Santo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,149
North West Santo,area_council,Sanma,2020,Catholic,catholic,8
North West Santo,area_council,Sanma,2020,Anglican,anglican,11
North West Santo,area_council,Sanma,2020,Churches of Christ,church_of_christ,3
North West Santo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,56
North West Santo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,11
North West Santo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,0
North West Santo,area_council,Sanma,2020,Apostolic,apostolic,1
North West Santo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,0
North West Santo,area_council,Sanma,2020,Other churches,other,167
North West Santo,area_council,Sanma,2020,No Religion/Faith,no_religion,5
North West Santo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,1
North West Santo,area_council,Sanma,2020,Not Stated,not_stated,0
North Santo,area_council,Sanma,2020,Total,total,5194
North Santo,area_council,Sanma,2020,Presbyterian,presbyterian,1179
North Santo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,964
North Santo,area_council,Sanma,2020,Catholic,catholic,1077
North Santo,area_council,Sanma,2020,Anglican,anglican,934
North Santo,area_council,Sanma,2020,Churches of Christ,church_of_christ,23
North Santo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,200
North Santo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,51
North Santo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,4
North Santo,area_council,Sanma,2020,Apostolic,apostolic,94
North Santo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,1
North Santo,area_council,Sanma,2020,Other churches,other,623
North Santo,area_council,Sanma,2020,No Religion/Faith,no_religion,41
North Santo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,3
North Santo,area_council,Sanma,2020,Not Stated,not_stated,1
West Santo,area_council,Sanma,2020,Total,total,3089
West Santo,area_council,Sanma,2020,Presbyterian,presbyterian,1423
West Santo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,69
West Santo,area_council,Sanma,2020,Catholic,catholic,7
West Santo,area_council,Sanma,2020,Anglican,anglican,129
West Santo,area_council,Sanma,2020,Churches of Christ,church_of_christ,12
West Santo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,3
West Santo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,369
West Santo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,37
West Santo,area_council,Sanma,2020,Apostolic,apostolic,39
West Santo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,0
West Santo,area_council,Sanma,2020,Other churches,other,963
West Santo,area_council,Sanma,2020,No Religion/Faith,no_religion,29
West Santo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,8
West Santo,area_council,Sanma,2020,Not Stated,not_stated,0
South Santo,area_council,Sanma,2020,Total,total,8702
South Santo,area_council,Sanma,2020,Presbyterian,presbyterian,3477
South Santo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,742
South Santo,area_council,Sanma,2020,Catholic,catholic,659
South Santo,area_council,Sanma,2020,Anglican,anglican,54
South Santo,area_council,Sanma,2020,Churches of Christ,church_of_christ,79
South Santo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,78
South Santo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,288
South Santo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,182
South Santo,area_council,Sanma,2020,Apostolic,apostolic,598
South Santo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,51
South Santo,area_council,Sanma,2020,Other churches,other,2399
South Santo,area_council,Sanma,2020,No Religion/Faith,no_religion,90
South Santo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,6
South Santo,area_council,Sanma,2020,Not Stated,not_stated,1
East Santo,area_council,Sanma,2020,Total,total,5788
East Santo,area_council,Sanma,2020,Presbyterian,presbyterian,1917
East Santo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,259
East Santo,area_council,Sanma,2020,Catholic,catholic,1795
East Santo,area_council,Sanma,2020,Anglican,anglican,423
East Santo,area_council,Sanma,2020,Churches of Christ,church_of_christ,542
East Santo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,125
East Santo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,275
East Santo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,0
East Santo,area_council,Sanma,2020,Apostolic,apostolic,90
East Santo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,2
East Santo,area_council,Sanma,2020,Other churches,other,355
East Santo,area_council,Sanma,2020,No Religion/Faith,no_religion,3
East Santo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,0
East Santo,area_council,Sanma,2020,Not Stated,not_stated,0
South East Santo,area_council,Sanma,2020,Total,total,7479
South East Santo,area_council,Sanma,2020,Presbyterian,presbyterian,1022
South East Santo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,1268
South East Santo,area_council,Sanma,2020,Catholic,catholic,586
South East Santo,area_council,Sanma,2020,Anglican,anglican,1252
South East Santo,area_council,Sanma,2020,Churches of Christ,church_of_christ,1323
South East Santo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,201
