Census Year,Subject population,Religious affiliation,Religious affiliation Code,Territorial authority,Territorial authority Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,Shinto,Shinto,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Tenrikyo,Tenrikyo,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Tenrikyo,Tenrikyo,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Sikhism,Sikhism,Westland,Westland District,Count,6,number,Number of people,
2013,Census usually resident population,Sikhism,Sikhism,Westland,Westland District,Percentage of total stated,0.07225433526012,percentage,% of people,
2013,Census usually resident population,Theism,Theism,Westland,Westland District,Count,6,number,Number of people,
2013,Census usually resident population,Theism,Theism,Westland,Westland District,Percentage of total stated,0.07225433526012,percentage,% of people,
2013,Census usually resident population,Zoroastrian,Zoroastrian,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Zoroastrian,Zoroastrian,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Total people,Total,Westland,Westland District,Count,8304,number,Number of people,
2013,Census usually resident population,Total people,Total,Westland,Westland District,Percentage of total stated,100,percentage,% of people,
2013,Census usually resident population,No religion,No Religion,Hurunui,Hurunui District,Count,4719,number,Number of people,
2013,Census usually resident population,No religion,No Religion,Hurunui,Hurunui District,Percentage of total stated,40.93156388238,percentage,% of people,
2013,Census usually resident population,Buddhism,Buddhism,Hurunui,Hurunui District,Count,54,number,Number of people,
2013,Census usually resident population,Buddhism,Buddhism,Hurunui,Hurunui District,Percentage of total stated,0.4683840749415,percentage,% of people,
