"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-33","KE-33","Narok",2019,1145547,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1099930,96.02,45617,3.98,,,,17892.72,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-34","KE-34","Nyamira",2019,602847,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",599500,99.44,3347,0.56,,,,885.19,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-35","KE-35","Nyandarua",2019,635396,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",620674,97.68,14722,2.32,,,,3273.37,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-36","KE-36","Nyeri",2019,751658,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",745556,99.19,6102,0.81,,,,3332.97,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-37","KE-37","Samburu",2019,306001,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",298573,97.57,7428,2.43,,,,21078.59,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-38","KE-38","Siaya",2019,988402,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",979788,99.13,8614,0.87,,,,3510.26,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-39","KE-39","Taita Taveta",2019,335445,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",332408,99.09,3037,0.91,,,,17152.4,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-40","KE-40","Tana River",2019,314562,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",313518,99.67,1044,0.33,,,,37824.23,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-41","KE-41","Tharaka-Nithi",2019,390621,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",386160,98.86,4461,1.14,,,,2670.54,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-42","KE-42","Trans Nzoia",2019,983899,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",971369,98.73,12530,1.27,,,,2485.64,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-43","KE-43","Turkana",2019,910509,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",885148,97.21,25361,2.79,,,,69745.63,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-44","KE-44","Uasin Gishu",2019,1151188,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",1136899,98.76,14289,1.24,,,,3346.55,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-45","KE-45","Vihiga",2019,586727,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",583390,99.43,3337,0.57,,,,559.86,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-46","KE-46","Wajir",2019,775217,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",775178,99.99,39,0.01,,,,56704.38,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
"KE","ke-county-2020-geoboundaries-adm1","county","ke-county-2020-geoboundaries-adm1:KE-47","KE-47","West Pokot",2019,617548,"stated religion-response denominator: table 2.30 total minus Don't Know and Not Stated",599444,97.07,18104,2.93,,,,9110.96,,,"knbs-2019-kphc-vol4-table-2-30-religion-by-county|geoboundaries-ken-adm1-2020","stated_response_denominator;dont_know_and_not_stated_excluded_from_denominator;named_religions_in_religious_affiliation"
