"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G3550195",1870,1870,"Lincoln, New Mexico Territory","Lincoln","New Mexico Territory","355","Lincoln","0195",1803,1870,2,"total religious edifices from NHGIS table NT44 (AK8001)",500,27.7316,11.0926,3500,,,37011.71,"wave_coverage_differs"
"G3701090",1870,1870,"Lincoln, North Carolina","Lincoln","North Carolina","370","Lincoln","1090",9573,1870,35,"total religious edifices from NHGIS table NT44 (AK8001)",8875,92.7087,36.5612,53100,,,795.23,"wave_coverage_differs"
"G4701030",1870,1870,"Lincoln, Tennessee","Lincoln","Tennessee","470","Lincoln","1030",28050,1870,31,"total religious edifices from NHGIS table NT44 (AK8001)",12100,43.1373,11.0517,59600,,,1716.45,"wave_coverage_differs"
"G5400430",1870,1870,"Lincoln, West Virginia","Lincoln","West Virginia","540","Lincoln","0430",5053,1870,6,"total religious edifices from NHGIS table NT44 (AK8001)",1950,38.5909,11.8741,2250,,,1236.58,"wave_coverage_differs"
"G1901130",1870,1870,"Linn, Iowa","Linn","Iowa","190","Linn","1130",31080,1870,30,"total religious edifices from NHGIS table NT44 (AK8001)",8075,25.9813,9.6525,144200,,,1876.46,"wave_coverage_differs"
"G2001070",1870,1870,"Linn, Kansas","Linn","Kansas","200","Linn","1070",12174,1870,20,"total religious edifices from NHGIS table NT44 (AK8001)",7800,64.071,16.4285,107900,,,1570.49,"wave_coverage_differs"
"G2901150",1870,1870,"Linn, Missouri","Linn","Missouri","290","Linn","1150",15900,1870,16,"total religious edifices from NHGIS table NT44 (AK8001)",4300,27.044,10.0629,38000,,,1609.35,"wave_coverage_differs"
"G4100430",1870,1870,"Linn, Oregon","Linn","Oregon","410","Linn","0430",8717,1870,25,"total religious edifices from NHGIS table NT44 (AK8001)",9250,106.1145,28.6796,24900,,,6488.5,"wave_coverage_differs"
"G0900050",1870,1870,"Litchfield, Connecticut","Litchfield","Connecticut","090","Litchfield","0050",48727,1870,117,"total religious edifices from NHGIS table NT44 (AK8001)",33716,69.1937,24.0113,861909,,,2446.51,"wave_coverage_differs"
"G0500810",1870,1870,"Little River, Arkansas","Little River","Arkansas","050","Little River","0810",3236,1870,5,"total religious edifices from NHGIS table NT44 (AK8001)",180,5.5624,15.4512,800,,,1483.98,"wave_coverage_differs"
"G4802970",1870,1870,"Live Oak, Texas","Live Oak","Texas","480","Live Oak","2970",852,1870,2,"total religious edifices from NHGIS table NT44 (AK8001)",400,46.9484,23.4742,600,,,3033.28,"wave_coverage_differs"
"G1701050",1870,1870,"Livingston, Illinois","Livingston","Illinois","170","Livingston","1050",31471,1870,33,"total religious edifices from NHGIS table NT44 (AK8001)",10150,32.2519,10.4858,146000,,,2708.93,"wave_coverage_differs"
"G2101390",1870,1870,"Livingston, Kentucky","Livingston","Kentucky","210","Livingston","1390",8200,1870,22,"total religious edifices from NHGIS table NT44 (AK8001)",7850,95.7317,26.8293,14000,,,886.05,"wave_coverage_differs"
"G2200630",1870,1870,"Livingston, Louisiana","Livingston","Louisiana","220","Livingston","0630",4026,1870,14,"total religious edifices from NHGIS table NT44 (AK8001)",1700,42.2255,34.774,11000,,,1819.9,"wave_coverage_differs"
"G2600930",1870,1870,"Livingston, Michigan","Livingston","Michigan","260","Livingston","0930",19336,1870,24,"total religious edifices from NHGIS table NT44 (AK8001)",5960,30.8233,12.4121,72500,,,1516.19,"wave_coverage_differs"
"G2901170",1870,1870,"Livingston, Missouri","Livingston","Missouri","290","Livingston","1170",16730,1870,15,"total religious edifices from NHGIS table NT44 (AK8001)",4150,24.8057,8.9659,42000,,,1394.88,"wave_coverage_differs"
"G3600510",1870,1870,"Livingston, New York","Livingston","New York","360","Livingston","0510",38309,1870,91,"total religious edifices from NHGIS table NT44 (AK8001)",29900,78.0495,23.7542,330600,,,1658.71,"wave_coverage_differs"
"G4802990",1870,1870,"Llano, Texas","Llano","Texas","480","Llano","2990",1379,1870,4,"total religious edifices from NHGIS table NT44 (AK8001)",800,58.0131,29.0065,800,,,2502.42,"wave_coverage_differs"
"G1701070",1870,1870,"Logan, Illinois","Logan","Illinois","170","Logan","1070",23053,1870,23,"total religious edifices from NHGIS table NT44 (AK8001)",6450,27.979,9.977,108700,,,1603.01,"wave_coverage_differs"
"G2101410",1870,1870,"Logan, Kentucky","Logan","Kentucky","210","Logan","1410",20429,1870,53,"total religious edifices from NHGIS table NT44 (AK8001)",14800,72.446,25.9435,219550,,,1442.81,"wave_coverage_differs"
"G3900910",1870,1870,"Logan, Ohio","Logan","Ohio","390","Logan","0910",23028,1870,68,"total religious edifices from NHGIS table NT44 (AK8001)",20350,88.3707,29.5293,173600,,,1208.92,"wave_coverage_differs"
"G5400450",1870,1870,"Logan, West Virginia","Logan","West Virginia","540","Logan","0450",5124,1870,8,"total religious edifices from NHGIS table NT44 (AK8001)",700,13.6612,15.6128,3000,,,2277.53,"wave_coverage_differs"
"G3900930",1870,1870,"Lorain, Ohio","Lorain","Ohio","390","Lorain","0930",30308,1870,75,"total religious edifices from NHGIS table NT44 (AK8001)",27075,89.3328,24.7459,302950,,,1281.78,"wave_coverage_differs"
"G0600370",1870,1870,"Los Angeles, California","Los Angeles","California","060","Los Angeles","0370",15309,1870,13,"total religious edifices from NHGIS table NT44 (AK8001)",2840,18.5512,8.4917,192800,,,13142.74,"wave_coverage_differs"
"G5101070",1870,1870,"Loudoun, Virginia","Loudoun","Virginia","510","Loudoun","1070",20929,1870,46,"total religious edifices from NHGIS table NT44 (AK8001)",15300,73.1043,21.9791,149200,,,1349.91,"wave_coverage_differs"
"G1901150",1870,1870,"Louisa, Iowa","Louisa","Iowa","190","Louisa","1150",12877,1870,23,"total religious edifices from NHGIS table NT44 (AK8001)",7025,54.5546,17.8613,27200,,,1081.37,"wave_coverage_differs"
"G5101090",1870,1870,"Louisa, Virginia","Louisa","Virginia","510","Louisa","1090",16332,1870,43,"total religious edifices from NHGIS table NT44 (AK8001)",19750,120.9282,26.3287,40950,,,1323.11,"wave_coverage_differs"
"G0100850",1870,1870,"Lowndes, Alabama","Lowndes","Alabama","010","Lowndes","0850",25719,1870,58,"total religious edifices from NHGIS table NT44 (AK8001)",15625,60.7528,22.5514,33850,,,1877.22,"wave_coverage_differs"
"G1301850",1870,1870,"Lowndes, Georgia","Lowndes","Georgia","130","Lowndes","1850",8321,1870,31,"total religious edifices from NHGIS table NT44 (AK8001)",3600,43.264,37.2551,13000,,,1434.96,"wave_coverage_differs"
