"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508063","SK0106508063","Malacky",2021,18935,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",10538,55.65,6815,35.99,,,,27.09,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508080","SK0106508080","Marianka",2021,2284,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1322,57.88,832,36.43,,,,3.14,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508161","SK0106508161","Pernek",2021,895,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",604,67.49,221,24.69,,,,27.41,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508195","SK0106508195","Plavecký Štvrtok",2021,2513,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1622,64.54,661,26.3,,,,24.17,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508233","SK0106508233","Stupava",2021,12595,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",6890,54.7,4811,38.2,,,,67.88,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508241","SK0106508241","Suchohrad",2021,673,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",303,45.02,336,49.93,,,,15.23,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508349","SK0106508349","Vysoká pri Morave",2021,2273,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1276,56.14,781,34.36,,,,33.43,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508365","SK0106508365","Záhorská Ves",2021,1885,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1142,60.58,634,33.63,,,,12.92,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0106508381","SK0106508381","Zohor",2021,3448,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",2394,69.43,805,23.35,,,,21.28,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507806","SK0107507806","Báhoň",2021,1879,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1427,75.94,398,21.18,,,,10.78,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507849","SK0107507849","Budmerice",2021,2506,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1785,71.23,644,25.7,,,,30.11,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507857","SK0107507857","Častá",2021,2363,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",1759,74.44,576,24.38,,,,35.14,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507873","SK0107507873","Doľany (Okres Pezinok)",2021,1066,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",853,80.02,201,18.86,,,,22.43,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507881","SK0107507881","Dubová (Okres Pezinok)",2021,1142,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",778,68.13,312,27.32,,,,13.88,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507946","SK0107507946","Jablonec",2021,1004,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",758,75.5,203,20.22,,,,8.68,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
"SK","sk-municipality-2021-sodb","municipality","sk-municipality-2021-sodb:SK0107507989","SK0107507989","Svätý Jur",2021,5941,"SODB 2021 total population denominator used in published shares; includes the category nezistené / not found out",3636,61.2,1985,33.41,,,,39.95,,,"sodb2021-z01-15-religious-belief-basic-results|sodb2021-disem-ob-geojson","sodb_published_total_denominator_includes_nezistene"
